no,code,result,error,
1,400,1000,E-PE-00004,3
2,400,1000,E-PE-00007,3
3,400,1000,E-PE-00014,3
4,400,1000,E-PE-00015,3
5,400,1000,-,3
6,400,2000,RG0005R-E01040,1
7,400,2000,RG0005R-E01041,1
8,400,2000,RG0005R-E01042,1
9,400,2000,RG0017T-1001,1
10,400,2000,RG0017T-1002,2
11,400,2000,RG0017T-1003,1
12,400,2000,RG0017T-1005,1
13,400,2000,RG0019C-0002,1
14,400,2000,RG0019C-0004,1
15,400,2000,RG0019C-0404,1
16,400,2000,RG0019C-0405,1
17,400,2000,RG0019C-0406,1
18,400,2000,RG0019C-0407,1
19,400,2000,RG0021C-0401,1
20,400,2000,RG0021C-0402,1
21,400,2000,RG0021C-0403,1
22,400,2000,RG0021C-0404,1
23,400,2000,RG0021C-0405,1
24,400,2000,RG0021C-0406,1
25,400,2000,RG0020R-0203,1
26,400,2000,RG0020R-0204,1
27,400,2000,RG0020R-0401,1
28,400,2000,RG0020R-0402,1
29,400,2000,RG0020R-0403,1
30,400,2000,RG0018R-0002,1
31,400,2000,RG0018R-0004,1
32,400,2000,RG0018R-0005,1
33,400,2000,RG0018R-0404,1
34,400,2000,RG0001R-E03002,1
35,400,2000,RG0001R-E03003,1
36,400,2000,RG0001R-E03004,1
37,400,2000,RG0001R-E03005,1
38,400,2000,RH0004R-01002,1
39,400,2000,RH0004R-01003,1
40,400,2000,RH0004R-02001,1
41,400,2000,RH0004R-02002,1
42,400,2000,RH0004R-02003,1
43,400,2000,RH0004R-02004,1
44,400,2000,RH0004R-02005,1
45,400,2000,RH0004R-01002,1
46,400,2000,RH0004R-01003,1
47,400,2000,RH0004R-02001,1
48,400,2000,RH0004R-02002,1
49,400,2000,RH0004R-02003,1
50,400,2000,RH0004R-02004,1
51,400,2000,RH0004R-02005,1
52,400,2000,RH0004R-01002,1
53,400,2000,RH0004R-01003,1
54,400,2000,RH0004R-02001,1
55,400,2000,RH0004R-02002,1
56,400,2000,RH0004R-02003,1
57,400,2000,RH0004R-02004,1
58,400,2000,RH0004R-02005,1
59,400,2000,RH0006R-01002,1
60,400,2000,RH0007R-02005,1
61,400,2000,RH0009T-E00001,1
62,400,2000,RH0011R-01002,1
63,400,2000,RH0011R-01003,1
64,400,2000,RH0011R-01004,1
66,400,2000,RH0011R-02001,1
67,400,2000,RH0011R-02002,1
68,400,1000,RM0001R-1002,3
69,400,1000,RM0001R-1003,3
70,400,2000,RM0001R-2001,2
71,400,2000,RM0001R-2002,1
72,400,2000,RM0001R-2003,2
73,400,2000,RM0001R-2004,1
